Timestamp,Do you agree to take part in this academic research questionnaire?,What is your age range?,What is your highest level of education?,What best describes how you mainly use a computer or phone?,Which of these have you used in the past year? (tick all that apply),How confident do you feel using online services and apps in general?,"How often do you experience slowness or problems when using online apps or services? For example: a website taking a long time to load, an app freezing, or being unable to access a file","When an online service runs slowly or goes down, how much does it affect you?","Have you ever had to wait longer than expected to access your files, emails, or apps at a busy time? For example: during a big software update, end of the work day, or a popular event",What do you usually do when an online service is slow or unavailable?,How important is it to you that the online services you use are fast and always available?,"Have you ever noticed an online service getting worse at a specific time of day or week? For example: slower in the morning, worse on Mondays, or during a big news event",Do you think online services should be able to predict when they will get busy and prepare for it in advance?,"Would you be willing to pay slightly more for a service that guaranteed it would never slow down, even during very busy periods?",How much do you trust that your online service provider manages their systems responsibly to keep things running smoothly?,"If an online service went down unexpectedly and you lost access for a few hours, what would be your most likely reaction?","Have you ever received a warning that you are running out of online storage space? For example: ""Your Google Drive is nearly full"" or ""iCloud storage is almost used up""","When a service you use is slow, what do you think is usually the cause?","How much do you think about the computing resources (servers, storage, processing power) that run the apps you use daily?",Do you think technology companies waste computing resources by over-preparing for demand that never arrives?,How important is it to you that the technology companies you rely on are using their computing resources efficiently and sustainably? For example: not running unnecessary servers that waste energy,"Would you find it useful if apps gave you an advance warning like ""This service may be slower than usual between 5pm and 7pm today""?","Overall, how satisfied are you with the reliability of the online services you use most?",Is there anything else you'd like to share about your experience with online services â€” good or bad?
2026/06/01 6:20:43 PM GMT+3,"Yes, I agree",35â€“44,Postgraduate degree,A mix of both,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,Almost every day,4,"Yes, occasionally",Wait and try again later,5,"Maybe, but I haven't paid close attention","Yes, definitely",Not sure,3,It depends on the service,"Yes, but I sorted it quickly",Too many people using the service at once,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",4,"Yes, very useful",4,
2026/06/01 6:43:22 PM GMT+3,"Yes, I agree",35â€“44,Postgraduate degree,A mix of both,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,Almost every day,4,"Yes, fairly often",Wait and try again later,5,"Yes, I've noticed a pattern","Yes, definitely",Probably not,4,It depends on the service,"Yes, and it caused me a problem",Too many people using the service at once,I've heard of these things but don't think about them,I've never thought about this,4,"Yes, very useful",4,
2026/06/01 8:33:06 PM GMT+3,"Yes, I agree",25â€“34,Diploma/Certificate,Mostly for personal use,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service,3,A few times a week,3,Once or twice,Switch to a different app or device,3,"Maybe, but I haven't paid close attention","Yes, definitely",Probably not,2,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",My internet connection,I've heard of these things but don't think about them,"Possibly, but I understand why they'd rather be safe",2,"Yes, very useful",3,It works most of the time which is great but sometimes it stops and I have no idea why.
2026/06/01 8:34:18 PM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,Mostly for personal use,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,4,Rarely,3,Once or twice,Contact support,3,"Yes, I've noticed a pattern",this should already be happening,"Yes, definitely",3,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",Too many people using the service at once,I think about it occasionally,"No, I think they get it about right",3,Neutral,4,
2026/06/02 4:48:27 PM GMT+3,"Yes, I agree",55 and above,Diploma/Certificate,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,5,A few times a month,5,Once or twice,Switch to a different app or device,5,"No, it seems consistent Â·",I'm not sure,"Yes, definitely",4,I've never been in this situation,"No, I've never had that warning",My internet connection,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",5,"Yes, very useful",5,"Online services  are  very useful  for day to day  needs. e.g  for train  and flight ticket   booking, online purchase, online  banking and government services ect. So, when we use online services carefully it's good. "
2026/06/02 6:22:23 PM GMT+3,"Yes, I agree",18â€“24,Postgraduate degree,Mostly for personal use,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,Rarely,3,"Yes, occasionally",Wait and try again later,5,"Maybe, but I haven't paid close attention","Probably, it sounds sensible","Yes, definitely",5,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",Too many people using the service at once,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",4,Neutral,4,
2026/06/02 6:25:58 PM GMT+3,"Yes, I agree",55 and above,Secondary school,Mostly for personal use,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,A few times a week,3,"Yes, occasionally",Switch to a different app or device,4,"Yes, I've noticed a pattern","Yes, definitely",Not sure,3,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",My device is old or slow,I think about it a lot,"Possibly, but I understand why they'd rather be safe",3,Neutral,2,
2026/06/02 6:35:22 PM GMT+3,"No, I do not agree",18â€“24,Postgraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service,4,Rarely,2,Once or twice,It rarely happens to me,4,"No, it seems consistent Â·","Probably, it sounds sensible",Probably yes,4,I'd be annoyed but would stay with the service,"Yes, but I sorted it quickly",My internet connection,I've heard of these things but don't think about them,"Possibly, but I understand why they'd rather be safe",3,Neutral,4,Good
2026/06/02 6:37:52 PM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,Mostly for personal use,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,A few times a week,3,Once or twice,Switch to a different app or device,5,"Maybe, but I haven't paid close attention","Probably, it sounds sensible","Yes, definitely",3,I'd be annoyed but would stay with the service,"Yes, but I sorted it quickly",A technical problem on the company's side,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",4,"Yes, very useful",4,
2026/06/02 7:47:30 PM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,2,A few times a week,3,"Yes, fairly often",Wait and try again later,2,"Maybe, but I haven't paid close attention",I'm not sure,Probably not,2,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",My internet connection,I've heard of these things but don't think about them,I've never thought about this,3,Somewhat useful,3,
2026/06/02 8:04:25 PM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,Mostly for personal use,Online banking,5,Rarely,3,"Yes, occasionally",Wait and try again later,1,"Maybe, but I haven't paid close attention",I'm not sure,Probably not,3,I wouldn't mind much,"No, I've never had that warning",My device is old or slow,I've heard of these things but don't think about them,"No, I think they get it about right",3,Not really,3,
2026/06/02 8:24:36 PM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,Mostly for work,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,A few times a week,3,"Yes, occasionally",Switch to a different app or device,5,"Yes, I've noticed a pattern","Yes, definitely",Probably yes,4,I'd be annoyed but would stay with the service,"Yes, but I sorted it quickly",A technical problem on the company's side,I think about it a lot,"Possibly, but I understand why they'd rather be safe",3,"Yes, very useful",3,Make life easier with several services that we don't need to be there in person. 
2026/06/02 9:01:01 PM GMT+3,"Yes, I agree",45â€“54,Undergraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service,3,A few times a week,3,Once or twice,Wait and try again later,4,"Yes, I've noticed a pattern","Yes, definitely","Yes, definitely",3,I'd be annoyed but would stay with the service,"Yes, but I sorted it quickly",My internet connection,I think about it occasionally,"No, I think they get it about right",3,Somewhat useful,3,
2026/06/02 11:14:56 PM GMT+3,"Yes, I agree",55 and above,Postgraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,1,A few times a month,3,Once or twice,It rarely happens to me,5,"Yes, I've noticed a pattern","Yes, definitely",Probably not,3,I'd be annoyed but would stay with the service,"Yes, but I sorted it quickly",My internet connection,I've never really thought about it,I've never thought about this,1,"Yes, very useful",5,I'm only concerned about data safety 
2026/06/03 1:04:13 AM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,A mix of both,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,Rarely,5,"Yes, occasionally",Contact support,5,"Maybe, but I haven't paid close attention",this should already be happening,Not sure,4,I'd be very frustrated and might switch to a competitor,"Yes, and it caused me a problem",Too many people using the service at once,I've never really thought about it,I've never thought about this,1,Somewhat useful,4,
2026/06/03 1:08:05 AM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,Mostly for personal use,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,A few times a week,2,"Yes, occasionally",Contact support,5,"Maybe, but I haven't paid close attention",I'm not sure,"Yes, definitely",4,I'd be very frustrated and might switch to a competitor,"No, I've never had that warning",A technical problem on the company's side,I've heard of these things but don't think about them,"No, I think they get it about right",5,"Yes, very useful",5,
2026/06/03 6:29:40 AM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,Mostly for personal use,"Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,Almost every day,3,"Yes, occasionally",Switch to a different app or device,3,"Maybe, but I haven't paid close attention",I'm not sure,Probably not,3,I wouldn't mind much,"No, I've never had that warning",A technical problem on the company's side,I've heard of these things but don't think about them,"Possibly, but I understand why they'd rather be safe",2,Somewhat useful,2,
2026/06/03 6:44:12 AM GMT+3,"Yes, I agree",18â€“24,Postgraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,4,Rarely,4,"Yes, occasionally",Wait and try again later,5,"Yes, I've noticed a pattern","Probably, it sounds sensible",Not sure,3,I'd be very frustrated and might switch to a competitor,"Yes, and it caused me a problem",Too many people using the service at once,I've never really thought about it,I've never thought about this,3,"Yes, very useful",3,
2026/06/03 6:46:40 AM GMT+3,"Yes, I agree",18â€“24,Undergraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service,4,Rarely,4,Once or twice,Switch to a different app or device,4,"Maybe, but I haven't paid close attention",I'm not sure,Probably not,3,I'd be very frustrated and might switch to a competitor,"Yes, and it caused me a problem",My internet connection,I've heard of these things but don't think about them,"No, I think they get it about right",3,"Yes, very useful",4,
2026/06/03 6:52:38 AM GMT+3,"Yes, I agree",35â€“44,Postgraduate degree,I use one for a business I run,"Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,A few times a week,4,"Yes, occasionally",Contact support,4,"Maybe, but I haven't paid close attention","Probably, it sounds sensible",Probably not,4,It depends on the service,"No, I've never had that warning",My device is old or slow,I've heard of these things but don't think about them,"No, I think they get it about right",4,Neutral,4,
2026/06/03 6:54:52 AM GMT+3,"Yes, I agree",18â€“24,Secondary school,Mostly for personal use,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service,3,A few times a week,4,Once or twice,Switch to a different app or device,4,"Maybe, but I haven't paid close attention",I'm not sure,Probably not,4,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",I genuinely have no idea,I've heard of these things but don't think about them,"Possibly, but I understand why they'd rather be safe",3,Neutral,4,
2026/06/03 6:56:43 AM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,A mix of both,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,Rarely,4,"Yes, occasionally",Wait and try again later,5,"Yes, I've noticed a pattern",this should already be happening,Not sure,3,It depends on the service,"Yes, and it caused me a problem",Too many people using the service at once,I've heard of these things but don't think about them,"No, I think they get it about right",4,"Yes, very useful",4,Good
2026/06/03 6:57:11 AM GMT+3,"Yes, I agree",18â€“24,Undergraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,4,Rarely,4,Once or twice,Switch to a different app or device,4,"No, it seems consistent Â·",this should already be happening,Not sure,3,It depends on the service,"Yes, and it caused me a problem",A technical problem on the company's side,I think about it occasionally,"Yes, I think this is a big issue Â·",5,"Yes, very useful",3,"My experience with online services has been generally good. They make many daily tasks easier and more convenient. Sometimes there are technical problems or delays or concerns about privacy and data security,which can be frustrating. Improving reliability and user support would make the experience better. 

But overall they have been helpful."
2026/06/03 7:02:13 AM GMT+3,"Yes, I agree",18â€“24,Postgraduate degree,Mostly for personal use,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,3,A few times a month,3,"Yes, occasionally",Wait and try again later,3,"Yes, I've noticed a pattern",I'm not sure,Probably not,3,It depends on the service,"Yes, and it caused me a problem",My internet connection,I've never really thought about it,Not sure,3,Somewhat useful,3,
2026/06/03 7:03:23 AM GMT+3,"Yes, I agree",35â€“44,Postgraduate degree,Mostly for work,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,A few times a week,2,"Yes, occasionally",Wait and try again later,4,"Yes, I've noticed a pattern","Yes, definitely","Yes, definitely",3,I'd be very frustrated and might switch to a competitor,"Yes, and it caused me a problem",My device is old or slow,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",2,"Yes, very useful",4,
2026/06/03 7:16:50 AM GMT+3,"Yes, I agree",55 and above,Undergraduate degree,Mostly for personal use,Online banking,3,A few times a month,3,Not sure,Wait and try again later,5,I don't use online services enough to notice,I'm not sure,Not sure,1,I wouldn't mind much,"Yes, and it caused me a problem",My internet connection,I've never really thought about it,Not sure,1,Not really,1,Good
2026/06/03 7:24:40 AM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,Mostly for work,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",3,A few times a week,4,Once or twice,Wait and try again later,5,"No, it seems consistent Â·","Yes, definitely",Probably not,4,I'd be annoyed but would stay with the service,"Yes, but I sorted it quickly",My internet connection,I think about it occasionally,I've never thought about this,5,"Yes, very useful",5,
2026/06/03 7:25:54 AM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,A mix of both,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,A few times a month,3,"Yes, occasionally",Try to work offline,5,"Maybe, but I haven't paid close attention","Yes, definitely","Yes, definitely",3,It depends on the service,"Yes, and it caused me a problem",My internet connection,I've never really thought about it,"Possibly, but I understand why they'd rather be safe",3,Somewhat useful,3,No
2026/06/03 7:31:40 AM GMT+3,"Yes, I agree",35â€“44,Undergraduate degree,A mix of both,Online banking,5,Rarely,4,"Yes, fairly often",Contact support,5,"Yes, I've noticed a pattern","Yes, definitely",Probably yes,5,I'd be very frustrated and might switch to a competitor,"Yes, and it caused me a problem",My internet connection,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",5,"Yes, very useful",5,
2026/06/03 7:32:43 AM GMT+3,"Yes, I agree",55 and above,Postgraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,1,A few times a week,2,"Yes, occasionally",Wait and try again later,4,"Yes, I've noticed a pattern","Yes, definitely","Yes, definitely",4,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",My internet connection,I think about it a lot,"Possibly, but I understand why they'd rather be safe",3,Somewhat useful,2,Good
2026/06/03 7:32:55 AM GMT+3,"Yes, I agree",45â€“54,Postgraduate degree,I use one for a business I run,"Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,A few times a week,5,"Yes, occasionally",It rarely happens to me,5,"Maybe, but I haven't paid close attention","No, I don't think it matters","No, I wouldn't pay more",5,It depends on the service,I don't use online storage,Too many people using the service at once,I've heard of these things but don't think about them,"No, I think they get it about right",3,Somewhat useful,3,
2026/06/03 7:50:00 AM GMT+3,"Yes, I agree",25â€“34,Postgraduate degree,A mix of both,Online banking;None of the above,3,A few times a month,2,Once or twice,Switch to a different app or device,2,"No, it seems consistent Â·","Probably, it sounds sensible",Probably yes,3,I'd be very frustrated and might switch to a competitor,"No, I've never had that warning",A technical problem on the company's side,I think about it a lot,I've never thought about this,2,Somewhat useful,2,
2026/06/03 8:04:37 AM GMT+3,"Yes, I agree",55 and above,Undergraduate degree,Mostly for personal use,None of the above,3,Rarely,2,"Yes, occasionally",Wait and try again later,4,"Maybe, but I haven't paid close attention",I'm not sure,Probably yes,4,I wouldn't mind much,"No, I've never had that warning",My internet connection,I think about it occasionally,"Yes, I think this is a big issue Â·",3,"Yes, very useful",4,I am finding my online service provider is better. Good. 
2026/06/03 9:26:24 AM GMT+3,"Yes, I agree",45â€“54,Postgraduate degree,Mostly for personal use,"Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking;Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",5,A few times a week,2,Once or twice,Switch to a different app or device,3,"Maybe, but I haven't paid close attention","Yes, definitely",Not sure,5,It depends on the service,"Yes, but I sorted it quickly",My internet connection,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",5,"Yes, very useful",4,"Services can provide more information about their services and other option. Like what we discussed, being slow during certain time, also other informations like users visited, their geography, age groups, purpose, the amount and type of information the services have, their sources, approvals, regulations etc. "
2026/06/03 9:41:11 AM GMT+3,"Yes, I agree",55 and above,Undergraduate degree,Mostly for personal use,Online banking,1,Rarely,1,"Yes, occasionally",Wait and try again later,1,"No, it seems consistent Â·",I'm not sure,Not sure,1,I wouldn't mind much,"Yes, and it caused me a problem",My internet connection,I've never really thought about it,Not sure,1,"Yes, very useful",5,Good 
2026/06/03 10:26:12 AM GMT+3,"Yes, I agree",18â€“24,Postgraduate degree,Mostly for work,Online banking,3,A few times a week,2,"Yes, occasionally",Switch to a different app or device,2,"Yes, I've noticed a pattern",this should already be happening,Probably yes,3,I'd be annoyed but would stay with the service,"No, I've never had that warning",Too many people using the service at once,I think about it a lot,"Yes, I think this is a big issue Â·",3,Somewhat useful,3,Bad
2026/06/03 10:27:01 AM GMT+3,"Yes, I agree",Prefer not to say,Secondary school,A mix of both,"Work software accessed via a browser (e.g. Salesforce, Microsoft 365)",4,Almost every day,1,"Yes, fairly often",Wait and try again later,1,"Yes, I've noticed a pattern","Yes, definitely","Yes, definitely",1,I'd be very frustrated and might switch to a competitor,"Yes, and it caused me a problem",My internet connection,I think about it a lot,"Yes, I think this is a big issue Â·",2,"Yes, very useful",1,Good 
2026/06/03 11:29:42 AM GMT+3,"Yes, I agree",25â€“34,Undergraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service,4,Rarely,3,"Yes, occasionally",Wait and try again later,5,"Maybe, but I haven't paid close attention",I'm not sure,Probably yes,4,I'd be very frustrated and might switch to a competitor,"Yes, but I sorted it quickly",I genuinely have no idea,I think about it occasionally,"Possibly, but I understand why they'd rather be safe",4,"Yes, very useful",4,Nothing 
2026/06/03 11:54:44 AM GMT+3,"Yes, I agree",35â€“44,Undergraduate degree,A mix of both,Google Drive / Google Docs Â· iCloud Â· Dropbox Â· OneDrive Â· Netflix / Spotify / a streaming service;Online banking,4,Rarely,3,Once or twice,Wait and try again later,5,"Maybe, but I haven't paid close attention","Probably, it sounds sensible",Probably yes,3,I'd be annoyed but would stay with the service,"Yes, and it caused me a problem",My internet connection,I've heard of these things but don't think about them,I've never thought about this,3,"Yes, very useful",4,
